Company Name,Company Website,Majors Hiring,Positions Available,Degree Required,Job Location,Online Application Web Page,Hiring Policy,Date of Attendance,Attending Receptions,Company Profile,Sponsor?,Building
Perrigo Company,http://www.perrigo.com/,"Biomedical Engineering, Chemical Engineering, Computer Engineering, Computer Science, Industrial and Operations Engineering, Manufacturing Engineering, Mechanical Engineering, Pharmaceutical Engineering","Full-time, Summer Internship, Co-Op",Bachelors,Midwest,http://www.perrigo.com/,2,"Monday, September 24th",No,"Perrigo Company is a leading global healthcare supplier that develops, manufactures and distributes over-the-counter (OTC) and prescription pharmaceuticals, nutritional products, active pharmaceutical ingredients (API) and consumer products. We are the world's largest manufacturer of OTC pharmaceutical products for the store brand market. Our primary markets and locations of manufacturing facilities are the United States, Israel, Mexico and the United Kingdom.",,GA
"Plastipak Packaging, Inc.",www.plastipak.com,"Computer Engineering, Electrical Engineering, Engineering Math/Physics, Industrial and Operations Engineering, Interdisciplinary Engineering (Undergraduate), Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering","Summer Internship, Co-Op","Masters, Bachelors","West Coast, Southwest, Northeast, Midwest, Southeast",www.plastipak.com/careers,1,"Monday, September 24th",,"Plastipak Packaging, Inc. develops and manufactures packaging products. It provides plastic rigid containers for food products, as well as beverage containers and bottles. The company also offers heavy-duty liquid, health and personal care and distilled spirits containers. In addition, it provides containers for processed foods and drinks. Plastipak Packaging, Inc. was founded in 1967 and is based in Plymouth, Michigan. The company has operations in North America, Europe, and South America.",,GA
"Plex Systems, Inc.",www.plex.com,Computer Science,Full-time,Bachelors,Midwest,,2,"Monday, September 24th",No,"Plex Systems is the developer of Plex Online Cloud ERP manufacturing ERP software. Plex Online is a software as a service (SaaS) or Cloud solution that extends manufacturing ERP beyond its traditional role in management and finance to encompass manufacturing operations, including production management, inventory management, quality management, and much more.",,DC
PNC Financial Services,www.pnc.jobs/students,Financial Engineering,"Full-time, Summer Internship",Bachelors,"Northeast, Midwest, Southeast",,3,"Tuesday, September 25th",No,,,DC
"POWER Engineers, Inc.",http://www.powereng.com,"Civil Engineering, Electrical Engineering","Full-time, Summer Internship","Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",www.powereng.com,1,"Tuesday, September 25th",No,"POWER Engineers is the leading T&D consulting design firm in the U.S. Our consulting work is focused on utility electrical system analysis and planning, protective relay application and setting, substation design, and transmission line design for systems from 12 kV through 765 kV. POWER provides engineering consulting services to many of the major utilities and generation firms in the U.S. and internationally.",,PC
"PPG Industries, Inc.",www.ppg.com,"Chemical Engineering, Electrical Engineering, Environmental Engineering, Industrial and Operations Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors",Midwest,,2,"Monday, September 24th",No,"PPG: BRINGING INNOVATION TO THE SURFACE. PPG Industries' vision is to continue to be the world's leading coatings and specialty products company. Through leadership in innovation, sustainability and color, PPG helps customers in industrial, transportation, consumer products, and construction markets and aftermarkets to enhance more surfaces in more ways than does any other company. Founded in 1883, PPG has global headquarters in Pittsburgh.",,DC
PRATT & WHITNEY,http://www.pw.utc.com/,"Aerospace Engineering, Computer Science, Computer Engineering, Electrical Engineering, Industrial and Operations Engineering, Interdisciplinary Engineering (Undergraduate), Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship, Co-Op","Masters, Bachelors","Northeast, Southeast",http://www.prattcareers.com/job_start.asp,2,"Tuesday, September 25th",No,"Pratt & Whitney, a United Technologies Corp. company (NYSE:UTX), is a world leader in the design, manufacture and service of aircraft engines, industrial gas turbines and space propulsion systems. Pratt & Whitney reported an operating pro?t of $2.0 billion in 2011 on revenues of $13.4 billion. The company has approximately 36,000 employees who support more than 11,000 customers around the world.",,PC
"Praxair, Inc.",www.praxair.com,"Biomedical Engineering, Chemical Engineering, Civil Engineering, Environmental Engineering, Industrial and Operations Engineering, Materials Science and Engineering, Mechanical Engineering",Full-time,"PhD, Masters","Northeast, Midwest",www.praxair.com/careers,1,"Monday, September 24th",No,"Praxair, Inc. is a Fortune 250 chemical company, which supplies gases and advanced technologies to a wide variety of industries. We are the largest industrial gases company in North and South America and one of the largest in the world. Praxair has operations in more than 30 countries, and 2011 sales exceeded $11 billion.",,EECS
Procter  Gamble RD,experiencepg.com,"Biomedical Engineering, Chemical Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship, Co-Op","PhD, Masters, Bachelors",Midwest,experiencepg.com,2,"Monday, September 24th",Yes,"Did you know P&G products are enjoyed over 4 billion times a day in over 180 countries? With the strongest portfolio of trusted, quality, leadership brands, including Pampers®, Tide®, Ariel®, Always®, Whisper®, Pantene®, Mach3®, Bounty®, Dawn®, Gain®, Pringles®, Charmin®, Downy®, Iams®, Crest®, Oral-B®, Duracell®, Olay®, Head & Shoulders®, Wella®, Gillette®, Braun® and Fusion®, our goal is to improve life daily through our products, people, and initiatives.",X,EECS
PwC,http://www.pwc.com/,"Civil Engineering, Computer Engineering, Computer Science, Electrical Engineering, Industrial and Operations Engineering, Interdisciplinary Engineering (Undergraduate), Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",https://sjobs.brassring.com/1033/ASP/TG/cim_home.asp?partnerid=25163&siteid=5278,1,"Monday, September 24th",No,"PricewaterhouseCoopers LLP (PwC US) is well placed to help clients meet the challenges and opportunities of the US marketplace in the areas of assurance, tax, and advisory. We offer the perspective of being part of a global network of firms combined with detailed knowledge of local, state and US national issues. More than 163,000 people in 151 countries across our network share knowledge, experience and solutions to develop fresh perspectives and deliver practical advice.",,BBB
"PYRAMID SOLUTIONS, INC.",pyramidsolutions.com,"Computer Engineering, Computer Science",Full-time,Bachelors,Northeast,,1,"Monday, September 24th",No,Pyramid Solutions is a software engineering and intergration company that has been in business for 22 years.,,DOW
"Quantum Signal, LLC",www.quantumsignal.com,"Computer Engineering, Computer Science, Electrical Engineering, Engineering Math/Physics, Mechanical Engineering","Full-time, Summer Internship","PhD, Masters, Bachelors",Midwest,"career@quantumsignal.com, jobs@reactorzero.com, www.quantumsignal.com",3,"Tuesday, September 25th",No,"Quantum Signal is an advanced engineering company in Saline, MI, specializing in image processing and simulation. Expertise includes: • Sensing, navigation and control for robots and vehicles • Real-time image processing • Vision algorithms, software and systems • Video analytics, object detection/tracking • Video/audio compression and transmission • Video game-style simulation for training and entertainment • Software development (C++, C#, Java, more)",,DOW
Raymond James Financial,www.raymondjames.com,"Computer Engineering, Computer Science, Financial Engineering","Full-time, Summer Internship","Masters, Bachelors",Southeast,www.raymondjames.com,1,"Tuesday, September 25th",Yes,"Since its modest beginnings in 1962, Raymond James has grown into one of the largest financial services firms in the United States, with 2,400 locations worldwide. Raymond James stock is traded on the New York Stock Exchange (RJF), and the firm has become a respected, multinational company. Raymond James headquarters is located in St. Petersburg, Florida on the 15- acre Raymond James Financial campus in a 180, 000- square-foot four-tower complex.",,GA
